start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,rater_id,empty_col,form_id,country,origin_org,name_org,rank_org,risk_level,risk_level_text,field_choice,field_text,sample_size,justification,calculations,minimal_effect_size,data_management_plan,archived_data,open_data,registration_other,registration_clinical_trials,comments
2022-08-03 16:28:30,2022-08-03 16:45:51,IP Address,100,1040,True,2022-08-03 16:45:51,R_2wLGBQZAplP2lv8,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,edinburgh_01,UK,University,University of Edinburgh,5,Both minimal and non-minimal,NA,Psychology form,Unknown,Yes,No,No,No,No,No,No,No,No,NA
2022-08-03 16:47:25,2022-08-03 16:57:58,IP Address,100,633,True,2022-08-03 16:57:58,R_Rw3oWCeRiS4g9qh,NA,NA,NA,NA,52.5062,-1.9425,anonymous,EN,SP,NA,glasgow_06,UK,University,University of Glasgow,8,Ambiguous,NA,Medicine and Psychology Combined,"Medical, veterinary and life sciences",No,No,No,No,Yes,No,No,No,No,Form for non clinical research involving human participants [already available data]
2022-08-03 16:58:01,2022-08-03 17:01:09,IP Address,100,188,True,2022-08-03 17:01:10,R_eEZ9CCdMDKaGvYJ,NA,NA,NA,NA,52.5062,-1.9425,anonymous,EN,SP,NA,glasgow_05,UK,University,University of Glasgow,8,Ambiguous,NA,Medicine and Psychology Combined,"Medicine, veterinary and life sciences",No,No,No,No,Yes,No,No,No,No,Non clinical research involving human participants [F2F contact]
2022-08-03 17:01:12,2022-08-03 17:05:43,IP Address,100,271,True,2022-08-03 17:05:44,R_xomVOBAMQ2B15e1,NA,NA,NA,NA,52.5062,-1.9425,anonymous,EN,SP,NA,glasgow_04,UK,University,University of Glasgow,8,Ambiguous,NA,Medicine and Psychology Combined,"Medicine, veterinary and life sciences",Yes,Yes,Yes,No,Yes,No,No,No,No,Non clinical research involving human participants [interventional research]
2022-08-03 17:05:50,2022-08-03 17:08:25,IP Address,100,154,True,2022-08-03 17:08:25,R_3fpYY6gOZKRStDJ,NA,NA,NA,NA,52.5062,-1.9425,anonymous,EN,SP,NA,glasgow_03,UK,University,University of Glasgow,8,Ambiguous,NA,Medicine and Psychology Combined,"Medicine, veterinary and life sciences",No,No,No,No,Yes,No,No,No,No,Non clinical research involving human participants [online surveys]
2022-08-03 17:08:29,2022-08-03 17:17:07,IP Address,100,518,True,2022-08-03 17:17:08,R_1oi2iQTmnPlIdDk,NA,NA,NA,NA,52.5062,-1.9425,anonymous,EN,SP,NA,glasgow_01,UK,University,University of Glasgow,8,Ambiguous,NA,Social Sciences form,Social sciences,Yes,No,No,No,Yes,No,Yes,No,No,Non clinical research involving human participants/data
2022-08-04 09:10:00,2022-08-04 09:52:25,IP Address,100,2545,True,2022-08-04 09:52:26,R_3hxMWXHH8rCr6Bi,NA,NA,NA,NA,51.6017,-0.0732,anonymous,EN,SP,NA,hopkins_02,USA,University,Johns Hopkins,1,Minimal (Low),NA,Medicine form,Medicine,No,No,No,No,Yes,No,No,No,No,"Form for studies qualifying for an exemption (educational research, survey/interviews, benign behavioural interventions)"
2022-08-04 09:52:36,2022-08-05 14:34:28,IP Address,100,103311,True,2022-08-05 14:34:28,R_3h9XRRvTgiYqy1c,NA,NA,NA,NA,53.5039,-2.1959,anonymous,EN,SP,NA,hopkins_01,USA,University,Johns Hopkins,1,Ambiguous,NA,Medicine form,Medicine,Yes,Yes,No,No,Yes,No,No,No,No,Secondary research form
2022-08-09 14:54:36,2022-08-09 15:10:33,IP Address,100,956,True,2022-08-09 15:10:33,R_vIjyOFoNZVq2p7X,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,hopkins_03,USA,University,Johns Hopkins,1,Ambiguous,NA,Medicine form,Medicine,No,Yes,Yes,No,No,No,No,No,No,Eform protocol (main)
2022-08-10 07:26:09,2022-08-10 07:34:21,IP Address,100,492,True,2022-08-10 07:34:22,R_2OSwnQgg6DBUOog,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,washington_02,USA,University,Univeristy of Washington,5,Both minimal and non-minimal,NA,All Human Research,Human subjects,Yes,No,No,No,No,Yes,No,No,No,No contact form
2022-08-10 07:39:39,2022-08-10 07:39:54,IP Address,100,14,True,2022-08-10 07:39:54,R_3fVhY7dhHxz7OG6,NA,NA,NA,NA,53.7573,-2.7236,anonymous,EN,SP,NA,washington_01,USA,University,Univeristy if Washington,5,Both minimal and non-minimal,NA,All Human Research,Human subjects,Yes,No,No,No,No,Yes,No,No,No,NA
2022-08-10 07:35:15,2022-08-10 07:57:45,IP Address,100,1349,True,2022-08-10 07:57:45,R_2rlm7U4EsOJ6n6Z,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,uscd_03,USA,University,UC San Diego,6,Both minimal and non-minimal,NA,Medicine form,Biomedical and interventional studies,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Biomedical protocol for interventional research
2022-08-10 07:57:58,2022-08-10 08:07:45,IP Address,100,587,True,2022-08-10 08:07:46,R_1o7LxrDevlCt4Vw,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,uscd_02,USA,University,UC San Diego,6,Ambiguous,NA,Medicine form,Biomed,No,Yes,No,No,No,No,No,No,No,Biomedical protocol for non interventional studies
2022-08-10 08:10:35,2022-08-10 08:14:46,IP Address,100,250,True,2022-08-10 08:14:46,R_NY1Vzls65zoh4rf,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,uscd_01,USA,University,UC San Diego,6,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,Social and behavioural protocol,No,No,No,No,No,No,No,No,No,NA
2022-08-10 08:16:10,2022-08-10 08:35:18,IP Address,100,1148,True,2022-08-10 08:35:18,R_2dYE0AUD2ii68RX,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,ucla_01,USA,University,UC Los Angeles,7,Both minimal and non-minimal,NA,All Human Research,All (eIRB),Yes,Yes,No,No,No,No,No,No,Yes,NA
2022-08-10 09:31:23,2022-08-10 09:46:41,IP Address,100,917,True,2022-08-10 09:46:41,R_XFbzwCB5ud5CUxz,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_08,USA,University,Stanford University,10,Minimal (Low),NA,Medicine form,Medical,Yes,No,No,No,No,No,No,No,No,Medical exempt form
2022-08-10 09:46:45,2022-08-10 10:27:02,IP Address,100,2417,True,2022-08-10 10:27:02,R_2Pb6l6ab7We1sTl,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_07,USA,University,Stanford University,10,Both minimal and non-minimal,NA,Medicine form,Medical,Yes,No,No,No,No,No,No,No,Yes,Medical expedited
2022-08-10 10:27:05,2022-08-10 10:35:39,IP Address,100,514,True,2022-08-10 10:35:39,R_UbyDSFjaMxXC5cB,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_06,USA,University,Stanford University,10,Both minimal and non-minimal,NA,Medicine form,Medical,Yes,No,No,No,No,No,No,No,Yes,Medical Regular form
2022-08-10 10:35:48,2022-08-10 10:49:21,IP Address,100,812,True,2022-08-10 10:49:21,R_2wglwo80dmmHndN,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_05,USA,University,Stanford University,10,Both minimal and non-minimal,NA,Medicine form,Medical,No,No,No,No,No,No,No,No,Yes,Medical Single IRB : studies where Stanford IRB is being asked to rely on an external IRB
2022-08-10 12:04:53,2022-08-10 12:14:48,IP Address,100,595,True,2022-08-10 12:14:49,R_2cBquU8yqyjdQvr,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_04,USA,University,Stanford University,10,Minimal (Low),NA,Psychology and Social Sciences Combined,Non medical,Yes,No,No,No,No,No,No,No,No,Non medical exempt
2022-08-10 12:14:51,2022-08-10 12:26:03,IP Address,100,671,True,2022-08-10 12:26:03,R_3KJSt5tzKL8YFUe,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_03,USA,University,Stanford University,10,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,Non-medical,Yes,No,No,No,No,No,No,No,No,Non medical expedited
2022-08-10 12:26:11,2022-08-10 12:40:34,IP Address,100,862,True,2022-08-10 12:40:34,R_22Q6dF1YqKtNUuE,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_02,USA,University,Stanford University,10,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,Non medical,Yes,No,No,No,No,No,No,No,No,Non medical regular
2022-08-10 12:40:48,2022-08-10 12:47:27,IP Address,100,398,True,2022-08-10 12:47:28,R_2ztBPLnFPF54dQM,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,stanford_01,USA,University,Stanford University,10,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,Non medical,No,No,No,No,No,No,No,No,No,Non medical single IRB
2022-08-10 13:39:49,2022-08-10 13:50:00,IP Address,100,610,True,2022-08-10 13:50:00,R_2EjjN9ruiXnlaIg,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,toronto_04,Canada,University,University of Toronto,1,Both minimal and non-minimal,NA,All Human Research,All,No,No,No,No,No,No,No,No,No,Graduate course template from the Office of Research Ethics
2022-08-10 13:53:41,2022-08-10 14:00:01,IP Address,100,379,True,2022-08-10 14:00:01,R_31HNQqaVGhe4jG2,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,toronto_02,Canada,University,University of Toronto,1,Both minimal and non-minimal,NA,All Human Research,All,No,No,No,No,No,No,No,No,No,Undergraduate template from the Office of Research Ethics
2022-08-10 14:00:12,2022-08-10 14:07:43,IP Address,100,450,True,2022-08-10 14:07:43,R_1DLRKtObWT56Hik,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,toronto_01,Canada,University,Univeristy of Toronto,1,Both minimal and non-minimal,NA,All Human Research,All,No,No,No,No,No,No,No,No,No,Undergraduate student initiated project template from the Office of Research Ethics
2022-08-10 14:45:55,2022-08-10 14:51:15,IP Address,100,320,True,2022-08-10 14:51:16,R_3s18LZlyotNTBcw,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,mcgill_01,Canada,University,McGill University,3,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,Non-medical,Yes,Yes,No,No,No,No,No,No,No,Non medical eform template
2022-08-10 14:51:35,2022-08-10 14:56:35,IP Address,100,299,True,2022-08-10 14:56:35,R_2VBGY14wfNL3uXi,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,mcgill_02,Canada,University,McGill University,3,Both minimal and non-minimal,NA,Medicine and Psychology Combined,Medicine and health sciences,No,No,No,No,No,No,No,No,No,Initial medical review form
2022-08-11 08:29:36,2022-08-11 08:46:11,IP Address,100,994,True,2022-08-11 08:46:11,R_8HsWjZ6euBeLP1L,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,alberta_01,Canada,University,Univeristy of Alberta,6,Both minimal and non-minimal,NA,All Human Research,All human subjects application form,Yes,Yes,No,No,Yes,No,Yes,No,Yes,NA
2022-08-11 09:11:08,2022-08-11 09:17:35,IP Address,100,387,True,2022-08-11 09:17:35,R_3KN6wfJBQY2zhAm,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,ottawa_01,Canada,University,University of Ottawa,8,Both minimal and non-minimal,NA,All Human Research,Eform all,Yes,Yes,No,No,No,No,No,No,No,NA
2022-08-11 09:30:16,2022-08-11 09:41:19,IP Address,100,663,True,2022-08-11 09:41:20,R_1NmoFnr9VVmsI5k,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,mcmaster_02,Canada,University,McMaster University,9,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,"Social sciences, humanities and sciences (psychology)",Yes,Yes,Yes,No,No,Yes,No,No,No,NA
2022-08-11 09:55:18,2022-08-11 10:00:31,IP Address,100,312,True,2022-08-11 10:00:32,R_3hzt9aeHivdg3F3,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,monash_01,Australia,University,Monash University,3,Minimal (Low),NA,All Human Research,Human ethics,Yes,No,No,No,Yes,No,Yes,No,No,Low risk form for human ethic application
2022-08-11 10:00:40,2022-08-11 10:06:40,IP Address,100,360,True,2022-08-11 10:06:40,R_2QfAD4lpCU9YXIo,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,monash_02,Australia,University,Monash University,3,Non-minimal (High),NA,All Human Research,Human ethics,Yes,No,No,No,Yes,No,Yes,No,No,High risk ethics
2022-08-11 10:17:37,2022-08-11 12:35:18,IP Address,100,8261,True,2022-08-11 12:35:18,R_1i3R3nLyxM0SRmg,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,anu_02,Australia,University,Australian national University,6,Ambiguous,NA,All Human Research,Human research ethics,Yes,Yes,No,No,No,No,No,No,No,Expedited application
2022-08-11 12:35:27,2022-08-11 12:39:09,IP Address,100,221,True,2022-08-11 12:39:09,R_3iKC2EUNHbr5DZL,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,anu_01,Australia,University,Australian national University,6,Non-minimal (High),NA,All Human Research,Human research ethics,Yes,Yes,No,No,No,No,No,No,No,Full review application form
2022-08-11 12:43:07,2022-08-11 12:46:46,IP Address,100,218,True,2022-08-11 12:46:46,R_x2TcRL390beOQ5b,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,uwa_01,Australia,University,University of Western Australia,7,Both minimal and non-minimal,NA,All Human Research,All in one (from e-mails),No,No,No,No,Yes,No,No,No,No,NA
2022-08-11 12:51:08,2022-08-11 12:55:42,IP Address,100,273,True,2022-08-11 12:55:42,R_OlBDkcc1Br93pOF,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,adelaide_01,Australia,University,University of Adelaide,9,Both minimal and non-minimal,NA,All Human Research,Human research ethics,Yes,No,No,No,No,No,No,No,No,NA
2022-08-11 13:07:27,2022-08-11 13:18:27,IP Address,100,659,True,2022-08-11 13:18:27,R_2BnQfI6rAWBkWig,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,curtin_01,Australia,University,Curtin University,12,Both minimal and non-minimal,NA,All Human Research,Research involving humans,Yes,No,Yes,No,Yes,No,No,No,Yes,NA
2022-08-11 13:35:53,2022-08-11 13:54:53,IP Address,100,1139,True,2022-08-11 13:54:53,R_2w6JXT95rLMPl3Q,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,michigan_02,USA,University,Univeristy of Michigan (Ann Arbor),2,Both minimal and non-minimal,NA,All Human Research,Human reseearch,Yes,No,No,No,Yes,No,No,No,No,NA
2022-08-12 09:14:40,2022-08-12 09:28:56,IP Address,100,856,True,2022-08-12 09:28:56,R_2zFLV2Fgc4VOrBU,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,ubc_02,Canada,University,British Columbia,2,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,Behavioural studies,Yes,No,No,No,No,No,No,No,No,NA
2022-08-12 09:29:02,2022-08-12 09:45:20,IP Address,100,977,True,2022-08-12 09:45:20,R_3MfbdycuZqwnABz,NA,NA,NA,NA,53.7573,-2.7236,qr,EN,SP,NA,ubc_01,Canada,University,British Columbia,2,Both minimal and non-minimal,NA,Medicine and Psychology Combined,Clinical research,Yes,No,No,No,No,No,No,No,Yes,NA
2022-08-12 09:52:14,2022-08-12 09:53:14,IP Address,100,59,True,2022-08-12 09:53:14,R_1jcAfnJpwlxjv7N,NA,NA,NA,NA,53.7573,-2.7236,anonymous,EN,SP,NA,calgary_01,Canada,University,University of Calgary,5,Both minimal and non-minimal,NA,All Human Research,CHREB and CFREB,Yes,Yes,No,No,No,NA,NA,No,Yes,NA
2022-08-17 09:26:14,2022-08-17 09:29:44,IP Address,100,210,True,2022-08-17 09:29:44,R_2b1zxNQEEjQK7EN,NA,NA,NA,NA,37.9842,23.7353,qr,EN,SP,NA,unsw_02,Australia,University,University of New south wales,4,Minimal (Low),NA,All Human Research,All,Yes,No,No,No,Yes,NA,NA,No,No,Negligible risk form
2022-08-17 09:35:46,2022-08-17 09:40:41,IP Address,100,294,True,2022-08-17 09:40:41,R_0VxhLQemQ75Tz9f,NA,NA,NA,NA,37.9842,23.7353,qr,EN,SP,NA,unsw_01_b,Australia,University,University of New south wales (project description),4,Both minimal and non-minimal,NA,All Human Research,Human research,Yes,Yes,Yes,No,No,Yes,No,No,No,coded alongside unsw_01_a
2022-08-17 12:19:18,2022-08-17 12:47:33,IP Address,100,1695,True,2022-08-17 12:47:34,R_2tf0dIAxoDfpIQ2,NA,NA,NA,NA,37.423,-122.1639,qr,EN,RTT,NA,NA,Canada,University,Laval University,7,Both minimal and non-minimal,NA,Psychology and Social Sciences Combined,"The form is for all disciplines and multifaculty studies, but not for health science studies.",Yes,No,No,No,Yes,NA,NA,No,No,NA
2022-08-17 12:47:35,2022-08-17 13:03:13,IP Address,100,938,True,2022-08-17 13:03:13,R_ZxD1opVwY0re2dj,NA,NA,NA,NA,37.423,-122.1639,qr,EN,RTT,NA,NA,Canada,University,University of Laval,7,Both minimal and non-minimal,NA,Medicine form,"""Health Sciences""",Yes,Yes,No,No,Yes,NA,NA,No,No,NA
2022-08-20 10:30:27,2022-08-20 10:41:34,IP Address,100,667,True,2022-08-20 10:41:35,R_1MPPG6Zeu2izUrC,NA,NA,NA,NA,37.9842,23.7353,qr,EN,SP,NA,edinburgh_02,UK,University,University of Edinburgh,5,Both minimal and non-minimal,NA,Medicine form,Medicine and vet medicine,Yes,No,No,No,Yes,Yes,Yes,No,No,NA
2022-08-26 13:41:18,2022-08-26 13:50:18,IP Address,100,539,True,2022-08-26 13:50:18,R_PtTgSBB30Jff7gJ,NA,NA,NA,NA,37.9842,23.7353,qr,EN,SP,NA,nhs_01_b,UK,National,NHS,N/a,Both minimal and non-minimal,NA,Medicine and Psychology Combined,NHS patients,Yes,Yes,Yes,No,No,No,No,No,Yes,coded together with nhs_01_a
2022-08-26 13:50:24,2022-08-26 14:00:28,IP Address,100,604,True,2022-08-26 14:00:29,R_1CvXDIYE92dHbje,NA,NA,NA,NA,37.9842,23.7353,qr,EN,SP,NA,nhrmc_01,Australia,National,National Health and Medical Research Council (NHMRC),N/a,Both minimal and non-minimal,NA,Medicine and Psychology Combined,NHMRC,No,No,No,No,No,Yes,No,No,Yes,NA
2022-09-19 12:39:10,2022-09-19 13:36:32,IP Address,100,3442,True,2022-09-19 13:36:33,R_3njivFsE7lY07Xa,NA,NA,NA,NA,37.423,-122.1639,anonymous,EN,MK,NA,NA,UK,University,Queen Mary University of London,14,Both minimal and non-minimal,NA,All Human Research,"NA (if it is all in one unknown sound weird, not applicable would be better maybe)",Yes,Yes,No,No,Yes,NA,NA,No,No,NA
2022-09-19 13:42:51,2022-09-21 20:11:58,IP Address,100,196146,True,2022-09-21 20:11:58,R_27rJ05z0nVx9Egd,NA,NA,NA,NA,37.4152,-122.1224,anonymous,EN,MK,NA,NA,UK,University,university of strathclyde,27,Both minimal and non-minimal,NA,All Human Research,NA,Yes,No,No,No,No,NA,NA,No,No,"They ask about the involvment of ""hovercraft or any water borne craft"" but not about sample size justification."
2022-09-21 20:12:01,2022-09-21 21:07:39,IP Address,100,3338,True,2022-09-21 21:07:41,R_2S61dRpE4lcYdLf,NA,NA,NA,NA,37.4152,-122.1224,anonymous,EN,MK,NA,NA,UK,University,University of Liverpool,21,Ambiguous,NA,Unsure,na,Yes,Yes,No,No,No,Yes,Yes,No,No,I could not find the form on their website withouth login credentials but I used a filled out form that I have found on google.
2022-09-21 21:16:30,2022-09-21 21:25:09,IP Address,100,518,True,2022-09-21 21:25:10,R_1MKUba6zqHTN9FO,NA,NA,NA,NA,37.4152,-122.1224,anonymous,EN,MK,NA,NA,UK,University,UWE,59,Ambiguous,NA,Unsure,na,No,Yes,No,No,Yes,Yes,Yes,No,No,"The form asked me to confirm if I follow the data protection standards of the university but has not asked specifically about any of the data management practices. However, their internal protocol included information on them."
2022-09-27 21:21:26,2022-09-27 21:36:58,IP Address,100,932,True,2022-09-27 21:36:58,R_2bWBnJT0Cw8Qgaz,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,UK,University,University of Glasgow,8,Ambiguous,NA,Social Sciences form,NA,Yes,No,No,No,No,Yes,Yes,No,No,NA
2022-10-03 13:13:20,2022-10-03 21:59:42,IP Address,100,31582,True,2022-10-03 21:59:42,R_21HcPShrkjQ3Lxc,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,washington uni,to be added later,Ambiguous,NA,Unsure,n/a,Yes,No,No,No,No,Yes,Yes,No,No,washington_01 identifier
2022-10-03 21:59:45,2022-10-03 22:05:05,IP Address,100,320,True,2022-10-03 22:05:05,R_1laxNOQf3CZ7zJg,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,washington,to be added later,Ambiguous,NA,Unsure,n/a,Yes,No,No,No,No,Yes,Yes,No,No,washington_02
2022-10-03 22:05:09,2022-10-03 22:13:26,IP Address,100,496,True,2022-10-03 22:13:27,R_2SBxumkkJTJnvyo,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,stanford,to be added later,Ambiguous,NA,Psychology and Social Sciences Combined,n/a,No,No,No,No,No,No,No,No,No,stanford_01
2022-10-03 22:13:28,2022-10-03 22:23:35,IP Address,100,607,True,2022-10-03 22:23:36,R_32Jg75n3pxZnDtE,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,stanford,to be added later,Non-minimal (High),NA,Psychology and Social Sciences Combined,n/a,Yes,No,No,No,No,Yes,Yes,No,No,stanford_02
2022-10-06 11:12:22,2022-10-06 11:20:58,IP Address,100,515,True,2022-10-06 11:20:59,R_1FRpbrCPndt1dN8,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,maryland,to be added later,Both minimal and non-minimal,NA,Unsure,n/a,Yes,Yes,No,No,No,Yes,No,No,No,"""Explain what measures are in place to maintain confidentiality. This information must include: data storage (locked file cabinets/offices, password protection, etc.), data location and duration, description of persons with access to the data, and the method of destroying the data when completed."" Do we consider this as a question about data archival?"
2022-10-06 11:21:01,2022-10-06 11:48:01,IP Address,100,1620,True,2022-10-06 11:48:01,R_3hn1u7TIpTJoZv7,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,hopkins,to be added later,Ambiguous,NA,Medicine form,unknown,Yes,No,No,No,No,Yes,Yes,No,No,"""Explain how access to the data will be controlled and whether the access is logged."" could we specify this as question about open data sharing?"
2022-10-06 11:48:03,2022-10-06 11:53:35,IP Address,100,332,True,2022-10-06 11:53:36,R_2dNpO7fG8PTkJDS,NA,NA,NA,NA,37.4651,-122.143,anonymous,EN,MK,NA,NA,USA,University,hopkins_02,to be added later,Ambiguous,NA,Unsure,n/a,No,No,No,No,No,Yes,No,No,No,NA
